"kind","workload","input","metric","observed","ceiling","unit","status","notes"
"latency_ratio","key_sequence_process_with_context","n","yune_librime_median_ratio","2.708","3.050","x","pass","M52 phase-0 baseline plus small run-noise headroom; one-letter Track A row."
"latency_ratio","key_sequence_process_with_context","ni","yune_librime_median_ratio","2.952","3.223","x","pass","M52 phase-0 baseline plus small run-noise headroom; bounded-microsecond disposition row."
"latency_ratio","key_sequence_process_with_context","hao","yune_librime_median_ratio","2.039","2.287","x","pass","M52 phase-0 baseline plus small run-noise headroom; short normal Track A row."
"latency_ratio","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","yune_librime_median_ratio","2.010","3.267","x","pass","M52 phase-0 baseline plus small run-noise headroom; 37-character Luna row."
"latency_ratio","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","yune_librime_median_ratio","1.570","2.447","x","pass","M52 phase-0 baseline plus small run-noise headroom; existing 59-character Luna row promoted into the gate."
"memory_peak","","","track_a_peak_working_set_bytes","186085376","198000000","bytes","pass","M52 phase-0 Track A peak working-set high-water plus small run-noise headroom."
"latency_ratio","key_sequence_process_with_context","zhongguo","yune_librime_median_ratio","0.274","0.325","x","pass","M55 Phase 0 win-row ceiling after null-grammar fast-path fix: min(0.95x, worst-of-3 fixed baseline x 1.20); must remain <1.00x."
"latency_ratio","key_sequence_process_with_context","cszysmsrsd","yune_librime_median_ratio","0.401","0.532","x","pass","M55 Phase 0 win-row ceiling after null-grammar fast-path fix: min(0.95x, worst-of-3 fixed baseline x 1.20); must remain <1.00x."
"latency_ratio","key_sequence_process_with_context","zybfshmsru","yune_librime_median_ratio","0.589","0.770","x","pass","M55 Phase 0 win-row ceiling after null-grammar fast-path fix: min(0.95x, worst-of-3 fixed baseline x 1.20); must remain <1.00x."
"latency_ratio","startup_warm_shared_assets_runtime_ready","","yune_librime_median_ratio","1.034","1.101","x","pass","M55 Phase 0 startup/session ratio ceiling after null-grammar fast-path fix: worst-of-3 fixed baseline x 1.10; ratio spread <=10%."
"latency_absolute_us","session_create_select_destroy","","median_us","22804.200","25533.310","us","pass","M55 Phase 0 startup/session absolute ceiling after null-grammar fast-path fix: ratio spread 12.2% exceeded 10%; worst-of-3 Yune median x 1.10."
"latency_absolute_us","track-b-product/key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","median_us","324.395","375.253","us","pass","M55 Phase 0 Track B product absolute ceiling after null-grammar fast-path fix: worst-of-3 fixed baseline x 1.10; regression guard only, no TypeDuck speed claim."
"memory_absolute_bytes","track-b-product/key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","median_working_set_bytes","80039936","280518656","bytes","pass","M55 Phase 0 Track B product absolute ceiling after null-grammar fast-path fix: worst-of-3 fixed baseline x 1.10; regression guard only, no TypeDuck speed claim."
"memory_absolute_bytes","track-b-product/key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","max_peak_working_set_bytes","512094208","564065075","bytes","pass","M55 Phase 0 Track B product absolute ceiling after null-grammar fast-path fix: worst-of-3 fixed baseline x 1.10; regression guard only, no TypeDuck speed claim."
"memory_absolute_bytes","track-b-product/key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","median_private_bytes","35897344","200620851","bytes","pass","M55 Phase 0 Track B product absolute ceiling after null-grammar fast-path fix: worst-of-3 fixed baseline x 1.10; regression guard only, no TypeDuck speed claim."
"latency_absolute_us","track-b-product/session_create_select_destroy","","median_us","35808.100","109795.290","us","pass","M55 Phase 0 Track B product absolute ceiling after null-grammar fast-path fix: worst-of-3 fixed baseline x 1.10; regression guard only, no TypeDuck speed claim."
"memory_absolute_bytes","track-b-product/session_create_select_destroy","","median_working_set_bytes","60297216","248524390","bytes","pass","M55 Phase 0 Track B product absolute ceiling after null-grammar fast-path fix: worst-of-3 fixed baseline x 1.10; regression guard only, no TypeDuck speed claim."
"memory_absolute_bytes","track-b-product/session_create_select_destroy","","max_peak_working_set_bytes","512094208","564065075","bytes","pass","M55 Phase 0 Track B product absolute ceiling after null-grammar fast-path fix: worst-of-3 fixed baseline x 1.10; regression guard only, no TypeDuck speed claim."
"memory_absolute_bytes","track-b-product/session_create_select_destroy","","median_private_bytes","28643328","195078963","bytes","pass","M55 Phase 0 Track B product absolute ceiling after null-grammar fast-path fix: worst-of-3 fixed baseline x 1.10; regression guard only, no TypeDuck speed claim."
"latency_absolute_us","track-b-product/startup_warm_shared_assets_runtime_ready","","median_us","35010.400","107085.000","us","pass","M55 Phase 0 Track B product absolute ceiling after null-grammar fast-path fix: worst-of-3 fixed baseline x 1.10; regression guard only, no TypeDuck speed claim."
"memory_absolute_bytes","track-b-product/startup_warm_shared_assets_runtime_ready","","median_working_set_bytes","78024704","279919411","bytes","pass","M55 Phase 0 Track B product absolute ceiling after null-grammar fast-path fix: worst-of-3 fixed baseline x 1.10; regression guard only, no TypeDuck speed claim."
"memory_absolute_bytes","track-b-product/startup_warm_shared_assets_runtime_ready","","max_peak_working_set_bytes","512094208","564065075","bytes","pass","M55 Phase 0 Track B product absolute ceiling after null-grammar fast-path fix: worst-of-3 fixed baseline x 1.10; regression guard only, no TypeDuck speed claim."
"memory_absolute_bytes","track-b-product/startup_warm_shared_assets_runtime_ready","","median_private_bytes","34115584","200571290","bytes","pass","M55 Phase 0 Track B product absolute ceiling after null-grammar fast-path fix: worst-of-3 fixed baseline x 1.10; regression guard only, no TypeDuck speed claim."
