artifact_id,external_path,sha256,measured_yune_commit,status,disposition
mac_artifact_hash_audit,$HOME/yune-m59-current-macos-20260714/aggregate/artifact-hash-audit.csv,5ec9923e9cd9e1573d767eb5a8ce40ea3960ec6695edd1334e2352140949e8a6,0111cf47c09bfe7a4a3d55a1832f35a55bc59435,complete,hash audit for all five fixed-binary rounds
mac_source_manifest,$HOME/yune-m59-current-macos-20260714/aggregate/source-manifest.csv,d353a2144c9a13444777627cd8c72167439fda6154081c03210441a91c2b6ced,0111cf47c09bfe7a4a3d55a1832f35a55bc59435,complete,source and external-output adapter identity
mac_track_a_aggregate,$HOME/yune-m59-current-macos-20260714/aggregate/track-a-17-row-comparison.csv,d44477a26123775a4a88f83f87bfa4deceb42475881d45155986d47dd9c7f1eb,0111cf47c09bfe7a4a3d55a1832f35a55bc59435,complete,current dashboard Track A rows
mac_track_b_aggregate,$HOME/yune-m59-current-macos-20260714/aggregate/track-b-five-observations.csv,a3065a82a98cfaf4b69c7d031e54ba4ece190e09cf1a1e203bbc662275c426d8,0111cf47c09bfe7a4a3d55a1832f35a55bc59435,complete,current dashboard Track B rows
mac_current_candidate_comparison,$HOME/yune-m59-current-macos-20260714/aggregate/current-yune-librime-candidate-comparison.csv,2184f2b0313005c091d5b8d866df47545d07ca51f230a4461212229cc31ea75c,0111cf47c09bfe7a4a3d55a1832f35a55bc59435,complete,16 of 17 current pages exact
mac_m57_candidate_comparison,$HOME/yune-m59-current-macos-20260714/aggregate/candidate-m57-comparison.csv,41944c560fab9ed93e44c5289f0b075908dcd6747df5cb2cb60540f9585103e6,0111cf47c09bfe7a4a3d55a1832f35a55bc59435,complete,M57 candidate-shape comparison
mac_m57_owner_comparison,$HOME/yune-m59-current-macos-20260714/aggregate/memory-owner-m57-comparison.csv,0390f1e00adfe3bb773318cdde9a8a720d33c03b23a83b45bff37b326587baae,0111cf47c09bfe7a4a3d55a1832f35a55bc59435,complete,M57 normalized owner-shape comparison
mac_findings,$HOME/yune-m59-current-macos-20260714/aggregate/findings.md,182c70519459087b2bd9dc9fe06a064aeb608ba3e19eb56c9c45e2d8574cf8a2,0111cf47c09bfe7a4a3d55a1832f35a55bc59435,complete,source-bound findings and noise boundary
mac_run_1_summary,$HOME/yune-m59-current-macos-20260714/accepted/run-1/summary-comparison.csv,0a8f68876f6912d61beb0db68f67b797b9758b404b02c157f83e9a4ddd0e1f63,0111cf47c09bfe7a4a3d55a1832f35a55bc59435,complete,startup session and RSS source row
mac_run_2_summary,$HOME/yune-m59-current-macos-20260714/accepted/run-2/summary-comparison.csv,ebab565c6322cfd967276f76b0fffbc641add65c233ab0b037c9428fe18de99e,0111cf47c09bfe7a4a3d55a1832f35a55bc59435,complete,startup session and RSS source row
mac_run_3_summary,$HOME/yune-m59-current-macos-20260714/accepted/run-3/summary-comparison.csv,dfd3f1afd835f1ce50fe1098d08fd2a654b8fad496fc5ef28d36ef121c6093cd,0111cf47c09bfe7a4a3d55a1832f35a55bc59435,complete,startup session and RSS source row
mac_run_4_summary,$HOME/yune-m59-current-macos-20260714/accepted/run-4/summary-comparison.csv,e94ad9c4854fec31a5632c2326ca70e9f7f3707e26d80a2386f1b43d5b35255c,0111cf47c09bfe7a4a3d55a1832f35a55bc59435,complete,startup session and RSS source row with material UI noise
mac_run_5_summary,$HOME/yune-m59-current-macos-20260714/accepted/run-5/summary-comparison.csv,b96ad518769367aa1f2327c97b131ba29cc409737230c9f66b5e4f556cabf772,0111cf47c09bfe7a4a3d55a1832f35a55bc59435,complete,startup session and RSS source row
mac_product_status_m57,$HOME/yune-m59-current-macos-20260714/aggregate/product-status-m57-comparison.csv,a11a2a920a233e3afd5a89ca5c689b1678000b307a1c82bf33345c2ac4581513,0111cf47c09bfe7a4a3d55a1832f35a55bc59435,complete,checksum storage and compiled-ready comparison
web_local_full_gate,$HOME/yune-cloudflare-gate-evidence-0111cf47/input-latency-hard-stop.json,907ca79dcb06256db36717f0776c177b48ed7db8133221e4b21b945e0658faae,0111cf47c09bfe7a4a3d55a1832f35a55bc59435,pass,pre-hardening 8-scenario local receipt; current validator not rerun
web_local_exact_input,$HOME/yune-cloudflare-gate-evidence-0111cf47/normal-typing-exact-input.json,62b0e375b28d42b98192283b8a68defc01458b9bc4b3f47b2790a9e97fd69ef1,0111cf47c09bfe7a4a3d55a1832f35a55bc59435,pass,pre-hardening local 47-key receipt; current validator not rerun
web_deployed_setup_failure,$HOME/yune-web-deployed-0111cf47/evidence/normal-typing-exact-input.json,1beeaff0445c154584ec7e7bcd6e1b165a99196021bc33a0b7fd75fc681da3f2,0111cf47c09bfe7a4a3d55a1832f35a55bc59435,setup_failure,measurement not completed; preserved and retried as setup-retry-1
web_deployed_setup_retry_1,$HOME/yune-web-deployed-0111cf47/setup-retry-1/evidence/normal-typing-exact-input.json,f2d3c03f7d4ff3cbb1476896778a3aeb96001c5886f212a348e4447e88919285,0111cf47c09bfe7a4a3d55a1832f35a55bc59435,pass,pre-hardening deployed 47-key receipt; current validator not rerun
