schema_id,owner,class,estimated_bytes,item_count,storage,notes
jyut6ping3_mobile,translator.entries_by_code,shared,0,0,compact_table,compact storage path does not retain a translator BTreeMap
jyut6ping3_mobile,compact_table.syllabary_codes,heap_owned_reducible,4189674,114653,Vec<String>,canonical code list retained for prism lookup
jyut6ping3_mobile,compact_table.syllable_ids_by_code,shared,0,0,none,byte-backed compact storage does not retain the rsmarisa syllable map
jyut6ping3_mobile,compact_table.storage,mmap_file_backed,15248382,241796,byte_backed:mmap,table bytes are excluded from heap-owned branch triggers when mapped
jyut6ping3_mobile,compact_table.candidate_text_payload,shared_or_overlapping,1058723,127143,table_bin_byte_refs,candidate text payload; byte-backed rows overlap compact_table.storage
jyut6ping3_mobile,compact_table.candidate_comment_payload,shared_or_overlapping,1516569,127143,table_bin_byte_refs,candidate raw comments/code payload; byte-backed rows overlap compact_table.storage
jyut6ping3_mobile,compact_table.stems,heap_owned_required,48,0,"HashMap<String, Vec<String>>",retained phrase-code stems needed for lookup records and dictionary panels
jyut6ping3_mobile,compact_table.lookup_records,heap_owned_required,31920140,127144,"HashMap<String, Vec<DictionaryLookupRecord>>",retained dictionary lookup records required by TypeDuck dictionary panels
jyut6ping3_mobile,compact_table.corrections_tolerance,heap_owned_required,0,0,Vec<RimeCorrectionEntry> + Vec<RimeToleranceRule>,retained correction/tolerance payload required by TypeDuck fuzzy input behavior
jyut6ping3_mobile,compact_table.dict_settings,heap_owned_required,24,0,"BTreeMap<String, String>",retained dictionary settings parsed from deployed dictionary metadata
jyut6ping3_mobile,compact_table.preset_vocabulary,heap_owned_required,0,0,Vec<PresetVocabularyEntry>,retained preset vocabulary weights when the selected dictionary includes vocabulary packs
jyut6ping3_mobile,poet.entries_by_code,shared,0,0,none,upstream sentence model not retained for this translator
jyut6ping3_mobile,poet.lookup_index,shared,0,0,none,upstream sentence model not retained for this translator
jyut6ping3_mobile,poet.abbreviation_vocabulary,shared,0,0,none,upstream sentence model not retained for this translator
jyut6ping3_mobile,translator.entries_by_code,shared,0,0,compact_table,compact storage path does not retain a translator BTreeMap
jyut6ping3_mobile,compact_table.syllabary_codes,heap_owned_reducible,661218,19975,Vec<String>,canonical code list retained for prism lookup
jyut6ping3_mobile,compact_table.syllable_ids_by_code,shared,0,0,none,byte-backed compact storage does not retain the rsmarisa syllable map
jyut6ping3_mobile,compact_table.storage,mmap_file_backed,4640555,90780,byte_backed:mmap,table bytes are excluded from heap-owned branch triggers when mapped
jyut6ping3_mobile,compact_table.candidate_text_payload,shared_or_overlapping,351770,70805,table_bin_byte_refs,candidate text payload; byte-backed rows overlap compact_table.storage
jyut6ping3_mobile,compact_table.candidate_comment_payload,shared_or_overlapping,344792,70805,table_bin_byte_refs,candidate raw comments/code payload; byte-backed rows overlap compact_table.storage
