"export","file","line","family","input_preconditions","failure_return","panic_reachability_guess","unwind_guard_present","threading_expectation","phase3_disposition"
"rime_get_api","crates\yune-rime-api\src\api_table.rs","206","api_table","none; returns static function table pointer","non-null static pointer","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"rime_get_typeduck_profile_api","crates\yune-rime-api\src\api_table.rs","211","api_table","none; returns static function table pointer","non-null static pointer","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"rime_get_yune_windows_profile_api","crates\yune-rime-api\src\api_table.rs","216","api_table","none; returns static function table pointer","non-null static pointer","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"rime_levers_get_api","crates\yune-rime-api\src\api_table.rs","221","api_table","none; returns static function table pointer","non-null static pointer","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeCandidateListBegin","crates\yune-rime-api\src\candidate_api.rs","19","librime_abi","caller output/free pointers must be null or valid for documented struct/lifetime","FALSE for invalid read/free where applicable; free functions otherwise no-op","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeCandidateListFromIndex","crates\yune-rime-api\src\candidate_api.rs","36","librime_abi","caller output/free pointers must be null or valid for documented struct/lifetime","FALSE for invalid read/free where applicable; free functions otherwise no-op","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeCandidateListNext","crates\yune-rime-api\src\candidate_api.rs","74","librime_abi","caller output/free pointers must be null or valid for documented struct/lifetime","FALSE for invalid read/free where applicable; free functions otherwise no-op","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeCandidateListEnd","crates\yune-rime-api\src\candidate_api.rs","137","librime_abi","caller output/free pointers must be null or valid for documented struct/lifetime","FALSE for invalid read/free where applicable; free functions otherwise no-op","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeSchemaOpen","crates\yune-rime-api\src\config_api.rs","27","librime_abi","config/schema handles and C strings must be null only where documented; logical ids validated","FALSE/null/zero depending on query or mutation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeConfigOpen","crates\yune-rime-api\src\config_api.rs","45","librime_abi","config/schema handles and C strings must be null only where documented; logical ids validated","FALSE/null/zero depending on query or mutation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
