owner_id,occurrence,m57_present_passes,current_present_runs,m57_passes_consistent,current_runs_consistent,m57_retained_bytes,current_retained_bytes,m57_item_count,current_item_count,m57_mapped_file_bytes,current_mapped_file_bytes,m57_shape,current_shape,status,interpretation
compact_table.candidate_comment_payload,1,2,5,yes,yes,1516569,1516569,127143,127143,0,0,module=compact_table;structure=candidate_comment_payload;byte_class=shared_or_overlapping;sharing_scope=shared_or_overlapping;retained_estimate_bytes=1516569;non_overlapping_reducible_bytes=0;logical_bytes=1516569;item_count=127143;mapped_file_bytes=0;mapping_mode=table_bin_byte_refs;evidence_source=yune_m43_memory_owner_profile_json;notes=candidate raw comments/code payload; byte-backed rows overlap compact_table.storage,module=compact_table;structure=candidate_comment_payload;byte_class=shared_or_overlapping;sharing_scope=shared_or_overlapping;retained_estimate_bytes=1516569;non_overlapping_reducible_bytes=0;logical_bytes=1516569;item_count=127143;mapped_file_bytes=0;mapping_mode=table_bin_byte_refs;evidence_source=yune_m43_memory_owner_profile_json;notes=candidate raw comments/code payload; byte-backed rows overlap compact_table.storage,unchanged,normalized owner row; paths and session ids excluded
compact_table.candidate_comment_payload,2,2,5,yes,yes,344792,344792,70805,70805,0,0,module=compact_table;structure=candidate_comment_payload;byte_class=shared_or_overlapping;sharing_scope=shared_or_overlapping;retained_estimate_bytes=344792;non_overlapping_reducible_bytes=0;logical_bytes=344792;item_count=70805;mapped_file_bytes=0;mapping_mode=table_bin_byte_refs;evidence_source=yune_m43_memory_owner_profile_json;notes=candidate raw comments/code payload; byte-backed rows overlap compact_table.storage,module=compact_table;structure=candidate_comment_payload;byte_class=shared_or_overlapping;sharing_scope=shared_or_overlapping;retained_estimate_bytes=344792;non_overlapping_reducible_bytes=0;logical_bytes=344792;item_count=70805;mapped_file_bytes=0;mapping_mode=table_bin_byte_refs;evidence_source=yune_m43_memory_owner_profile_json;notes=candidate raw comments/code payload; byte-backed rows overlap compact_table.storage,unchanged,normalized owner row; paths and session ids excluded
compact_table.candidate_text_payload,1,2,5,yes,yes,1058723,1058723,127143,127143,0,0,module=compact_table;structure=candidate_text_payload;byte_class=shared_or_overlapping;sharing_scope=shared_or_overlapping;retained_estimate_bytes=1058723;non_overlapping_reducible_bytes=0;logical_bytes=1058723;item_count=127143;mapped_file_bytes=0;mapping_mode=table_bin_byte_refs;evidence_source=yune_m43_memory_owner_profile_json;notes=candidate text payload; byte-backed rows overlap compact_table.storage,module=compact_table;structure=candidate_text_payload;byte_class=shared_or_overlapping;sharing_scope=shared_or_overlapping;retained_estimate_bytes=1058723;non_overlapping_reducible_bytes=0;logical_bytes=1058723;item_count=127143;mapped_file_bytes=0;mapping_mode=table_bin_byte_refs;evidence_source=yune_m43_memory_owner_profile_json;notes=candidate text payload; byte-backed rows overlap compact_table.storage,unchanged,normalized owner row; paths and session ids excluded
compact_table.candidate_text_payload,2,2,5,yes,yes,351770,351770,70805,70805,0,0,module=compact_table;structure=candidate_text_payload;byte_class=shared_or_overlapping;sharing_scope=shared_or_overlapping;retained_estimate_bytes=351770;non_overlapping_reducible_bytes=0;logical_bytes=351770;item_count=70805;mapped_file_bytes=0;mapping_mode=table_bin_byte_refs;evidence_source=yune_m43_memory_owner_profile_json;notes=candidate text payload; byte-backed rows overlap compact_table.storage,module=compact_table;structure=candidate_text_payload;byte_class=shared_or_overlapping;sharing_scope=shared_or_overlapping;retained_estimate_bytes=351770;non_overlapping_reducible_bytes=0;logical_bytes=351770;item_count=70805;mapped_file_bytes=0;mapping_mode=table_bin_byte_refs;evidence_source=yune_m43_memory_owner_profile_json;notes=candidate text payload; byte-backed rows overlap compact_table.storage,unchanged,normalized owner row; paths and session ids excluded
compact_table.corrections_tolerance,1,2,5,yes,yes,0,0,0,0,0,0,module=compact_table;structure=corrections_tolerance;byte_class=heap_owned_required;sharing_scope=session_or_process_heap;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=Vec<RimeCorrectionEntry> + Vec<RimeToleranceRule>;evidence_source=yune_m43_memory_owner_profile_json;notes=retained correction/tolerance payload required by TypeDuck fuzzy input behavior,module=compact_table;structure=corrections_tolerance;byte_class=heap_owned_required;sharing_scope=session_or_process_heap;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=Vec<RimeCorrectionEntry> + Vec<RimeToleranceRule>;evidence_source=yune_m43_memory_owner_profile_json;notes=retained correction/tolerance payload required by TypeDuck fuzzy input behavior,unchanged,normalized owner row; paths and session ids excluded
compact_table.corrections_tolerance,2,2,5,yes,yes,0,0,0,0,0,0,module=compact_table;structure=corrections_tolerance;byte_class=heap_owned_required;sharing_scope=session_or_process_heap;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=Vec<RimeCorrectionEntry> + Vec<RimeToleranceRule>;evidence_source=yune_m43_memory_owner_profile_json;notes=retained correction/tolerance payload required by TypeDuck fuzzy input behavior,module=compact_table;structure=corrections_tolerance;byte_class=heap_owned_required;sharing_scope=session_or_process_heap;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=Vec<RimeCorrectionEntry> + Vec<RimeToleranceRule>;evidence_source=yune_m43_memory_owner_profile_json;notes=retained correction/tolerance payload required by TypeDuck fuzzy input behavior,unchanged,normalized owner row; paths and session ids excluded
compact_table.dict_settings,1,2,5,yes,yes,24,24,0,0,0,0,"module=compact_table;structure=dict_settings;byte_class=heap_owned_required;sharing_scope=session_or_process_heap;retained_estimate_bytes=24;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=BTreeMap<String, String>;evidence_source=yune_m43_memory_owner_profile_json;notes=retained dictionary settings parsed from deployed dictionary metadata","module=compact_table;structure=dict_settings;byte_class=heap_owned_required;sharing_scope=session_or_process_heap;retained_estimate_bytes=24;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=BTreeMap<String, String>;evidence_source=yune_m43_memory_owner_profile_json;notes=retained dictionary settings parsed from deployed dictionary metadata",unchanged,normalized owner row; paths and session ids excluded
compact_table.dict_settings,2,2,5,yes,yes,24,24,0,0,0,0,"module=compact_table;structure=dict_settings;byte_class=heap_owned_required;sharing_scope=session_or_process_heap;retained_estimate_bytes=24;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=BTreeMap<String, String>;evidence_source=yune_m43_memory_owner_profile_json;notes=retained dictionary settings parsed from deployed dictionary metadata","module=compact_table;structure=dict_settings;byte_class=heap_owned_required;sharing_scope=session_or_process_heap;retained_estimate_bytes=24;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=BTreeMap<String, String>;evidence_source=yune_m43_memory_owner_profile_json;notes=retained dictionary settings parsed from deployed dictionary metadata",unchanged,normalized owner row; paths and session ids excluded
compact_table.lookup_records,1,2,5,yes,yes,0,0,0,0,0,0,module=compact_table;structure=lookup_records;byte_class=shared;sharing_scope=shared_reference;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=none;evidence_source=yune_m43_memory_owner_profile_json;notes=no lookup-record payload retained for this compact table,module=compact_table;structure=lookup_records;byte_class=shared;sharing_scope=shared_reference;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=none;evidence_source=yune_m43_memory_owner_profile_json;notes=no lookup-record payload retained for this compact table,unchanged,normalized owner row; paths and session ids excluded
compact_table.lookup_records,2,2,5,yes,yes,5536522,5536522,70807,70807,0,0,module=compact_table;structure=lookup_records;byte_class=shared_or_overlapping;sharing_scope=shared_or_overlapping;retained_estimate_bytes=5536522;non_overlapping_reducible_bytes=0;logical_bytes=5536522;item_count=70807;mapped_file_bytes=0;mapping_mode=byte_backed_lookup_payload(byte_backed; mmap; index_bytes=2486376);evidence_source=yune_m43_memory_owner_profile_json;notes=dictionary lookup records retained as an indexed compiled payload instead of an eager HashMap,module=compact_table;structure=lookup_records;byte_class=shared_or_overlapping;sharing_scope=shared_or_overlapping;retained_estimate_bytes=5536522;non_overlapping_reducible_bytes=0;logical_bytes=5536522;item_count=70807;mapped_file_bytes=0;mapping_mode=byte_backed_lookup_payload(byte_backed; mmap; index_bytes=2486376);evidence_source=yune_m43_memory_owner_profile_json;notes=dictionary lookup records retained as an indexed compiled payload instead of an eager HashMap,unchanged,normalized owner row; paths and session ids excluded
