"kind","workload","input","metric","ceiling","unit","source_value","spread_pct","notes"
"latency_ratio","key_sequence_process_with_context","n","yune_librime_median_ratio","3.006","x","2.863","6.1","M59 owner-signed injection-ON re-derivation 2026-07-08: pooled-worst of 5 committed injection-on runs (2.863) x 1.05. Feature-OFF record (M55 corrective 2026-07-04): ceiling 2.890 / source 2.752. n is a non-syllable short key; the default-ON leading-single injection adds real per-keystroke cost to the thinnest rows and its 6.1% same-dll spread exceeds the old 5% noise band. Owner amendment: docs/plans/active/m59 'Flip perf-gate protocol'."
"latency_ratio","key_sequence_process_with_context","ni","yune_librime_median_ratio","2.666","x","2.539","1.4","M55 corrective per-key re-baseline 2026-07-04: worst of run-b/run-c x 1.05. Standing (injection-off) ceiling retained; median-gate green under M59 flip (med 2.631)."
"latency_ratio","key_sequence_process_with_context","hao","yune_librime_median_ratio","1.844","x","1.756","2.6","M59 owner-signed injection-ON re-derivation 2026-07-08: pooled-worst of 5 committed injection-on runs (1.756) x 1.05. Feature-OFF record (M55 corrective 2026-07-04): ceiling 1.731 / source 1.649. hao is a bare syllable; the flip cost is a same-work timing artifact (m37: identical counts flip-off/on), not a removable computation. Owner amendment: m59 'Flip perf-gate protocol'."
"latency_ratio","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","yune_librime_median_ratio","2.339","x","2.228","5.3","M59 owner-signed injection-ON re-derivation 2026-07-08: pooled-worst of 5 committed injection-on runs (2.228) x 1.05. Feature-OFF record (M55 corrective 2026-07-04): ceiling 2.094 / source 1.994. Honest interactive 37-char row; the default-ON injection adds real per-keystroke cost. Owner amendment: m59 'Flip perf-gate protocol'."
"latency_ratio","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","yune_librime_median_ratio","1.625","x","1.548","3.8","M55 corrective per-key re-baseline 2026-07-04: worst of run-b/run-c x 1.05; honest interactive 59-char row (owned default; byte-backed opt-in measures 3.227x, run-a). Standing (injection-off) ceiling retained; median-gate green under M59 flip (med 1.621, tight)."
"memory_peak","","","track_a_peak_working_set_bytes","195028378","bytes","185741312","0.4","M55 corrective re-baseline 2026-07-04: owned default holds the latency ceilings, so Track A peak returns to the owned-path level; worst of run-b/run-c x 1.05. Byte-backed opt-in (YUNE_POET_BYTE_BACKED=1) measures ~113.2 MB (run-a) but fails the long-row latency ceilings; a future scratch-port milestone may reclaim it. Median-gate green under M59 flip (med 191.9 MB)."
"latency_ratio","key_sequence_process_with_context","zhongguo","yune_librime_median_ratio","0.323","x","0.269","5.7","M55 corrective per-key re-baseline 2026-07-04 win-row ceiling: min(0.95x, worst of run-b/run-c x 1.20); must remain <1.00x. Median-gate green under M59 flip (med 0.292)."
"latency_ratio","key_sequence_process_with_context","cszysmsrsd","yune_librime_median_ratio","0.474","x","0.395","5.5","M55 corrective per-key re-baseline 2026-07-04 win-row ceiling: min(0.95x, worst of run-b/run-c x 1.20); must remain <1.00x. Median-gate green under M59 flip (med 0.389)."
"latency_ratio","key_sequence_process_with_context","zybfshmsru","yune_librime_median_ratio","0.695","x","0.579","6.9","M55 corrective per-key re-baseline 2026-07-04 win-row ceiling: min(0.95x, worst of run-b/run-c x 1.20); must remain <1.00x. Median-gate green under M59 flip (med 0.563)."
"latency_ratio","startup_warm_shared_assets_runtime_ready","","yune_librime_median_ratio","1.091","x","0.949","19.0","M55 corrective per-key re-baseline 2026-07-04: worst of run-b/run-c x 1.15 (startup ratio is historically run-noisy); no config cache - measures real schema application. Median-gate green under M59 flip (med 0.889)."
