"kind","workload","input","metric","observed","ceiling","unit","status","notes"
"latency_ratio","key_sequence_process_with_context","n","yune_librime_median_ratio","0.204","3.006","x","pass","M59 owner-signed injection-ON re-derivation 2026-07-08: pooled-worst of 5 committed injection-on runs (2.863) x 1.05. Feature-OFF record (M55 corrective 2026-07-04): ceiling 2.890 / source 2.752. n is a non-syllable short key; the default-ON leading-single injection adds real per-keystroke cost to the thinnest rows and its 6.1% same-dll spread exceeds the old 5% noise band. Owner amendment: docs/plans/active/m59 'Flip perf-gate protocol'."
"latency_ratio","key_sequence_process_with_context","ni","yune_librime_median_ratio","0.240","2.666","x","pass","M55 corrective per-key re-baseline 2026-07-04: worst of run-b/run-c x 1.05. Standing (injection-off) ceiling retained; median-gate green under M59 flip (med 2.631)."
"latency_ratio","key_sequence_process_with_context","hao","yune_librime_median_ratio","0.270","1.844","x","pass","M59 owner-signed injection-ON re-derivation 2026-07-08: pooled-worst of 5 committed injection-on runs (1.756) x 1.05. Feature-OFF record (M55 corrective 2026-07-04): ceiling 1.731 / source 1.649. hao is a bare syllable; the flip cost is a same-work timing artifact (m37: identical counts flip-off/on), not a removable computation. Owner amendment: m59 'Flip perf-gate protocol'."
"latency_ratio","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","yune_librime_median_ratio","0.022","2.339","x","pass","M59 owner-signed injection-ON re-derivation 2026-07-08: pooled-worst of 5 committed injection-on runs (2.228) x 1.05. Feature-OFF record (M55 corrective 2026-07-04): ceiling 2.094 / source 1.994. Honest interactive 37-char row; the default-ON injection adds real per-keystroke cost. Owner amendment: m59 'Flip perf-gate protocol'."
"latency_ratio","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","yune_librime_median_ratio","0.010","1.748","x","pass","M59 owner-signed injection-ON re-derivation 2026-07-08 (addendum, 4th adjusted row): pooled-worst of 6 committed feature-on runs (1.665; my 5 m59-flip-final + fable claude-verify) x 1.05 = 1.748. Feature-OFF record (M55 corrective 2026-07-04): ceiling 1.625 / source 1.548 (byte-backed opt-in measures 3.227x, run-a). The 59-char median (1.634) squeaked 0.25% under the old ceiling and escaped the first adjustment, but its ~3.8% same-dll spread makes single-run gating a coin-flip (fable's 22/23 at 06cd1800 straddled at 1.647); adjusted for the same reason as n/hao/37-char. Owner amendment: m59 'Flip perf-gate protocol'."
"memory_peak","","","track_a_peak_working_set_bytes","153821184","195028378","bytes","pass","M55 corrective re-baseline 2026-07-04: owned default holds the latency ceilings, so Track A peak returns to the owned-path level; worst of run-b/run-c x 1.05. Byte-backed opt-in (YUNE_POET_BYTE_BACKED=1) measures ~113.2 MB (run-a) but fails the long-row latency ceilings; a future scratch-port milestone may reclaim it. Median-gate green under M59 flip (med 191.9 MB)."
"latency_ratio","key_sequence_process_with_context","zhongguo","yune_librime_median_ratio","0.037","0.323","x","pass","M55 corrective per-key re-baseline 2026-07-04 win-row ceiling: min(0.95x, worst of run-b/run-c x 1.20); must remain <1.00x. Median-gate green under M59 flip (med 0.292)."
"latency_ratio","key_sequence_process_with_context","cszysmsrsd","yune_librime_median_ratio","0.005","0.474","x","pass","M55 corrective per-key re-baseline 2026-07-04 win-row ceiling: min(0.95x, worst of run-b/run-c x 1.20); must remain <1.00x. Median-gate green under M59 flip (med 0.389)."
"latency_ratio","key_sequence_process_with_context","zybfshmsru","yune_librime_median_ratio","0.007","0.695","x","pass","M55 corrective per-key re-baseline 2026-07-04 win-row ceiling: min(0.95x, worst of run-b/run-c x 1.20); must remain <1.00x. Median-gate green under M59 flip (med 0.563)."
"latency_ratio","startup_warm_shared_assets_runtime_ready","","yune_librime_median_ratio","0.944","1.091","x","pass","M55 corrective per-key re-baseline 2026-07-04: worst of run-b/run-c x 1.15 (startup ratio is historically run-noisy); no config cache - measures real schema application. Median-gate green under M59 flip (med 0.889)."
"latency_absolute_us","session_create_select_destroy","","median_us","23282.800","25470.280","us","pass","M55 corrective per-key re-baseline 2026-07-04: worst of run-b/run-c Yune median x 1.10; no config cache."
"latency_absolute_us","track-b-product/key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","median_us","17.810","347.975","us","pass","M55 corrective re-baseline 2026-07-04: worst of run-b/run-c x 1.10; regression guard only, no TypeDuck speed claim."
"memory_absolute_bytes","track-b-product/key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","median_working_set_bytes","67088384","88012390","bytes","pass","M55 corrective re-baseline 2026-07-04: worst of run-b/run-c x 1.10; regression guard only. M59 precedence fix restored this to 80 MB (the +24 MB flip regression was finding #1 firing on jyutping keystrokes where prefix_fallback did not apply per-request)."
