kind,workload,input,metric,unit,run1_observed,run2_observed,run3_observed,run4_observed,run5_observed,median_observed,worst_observed,spread_pct,ceiling,individual_failures,verdict
latency_ratio,key_sequence_process_with_context,n,yune_librime_median_ratio,x,0.204,0.212,0.214,0.212,0.215,0.212,0.215,5.4,3.006,0,pass
latency_ratio,key_sequence_process_with_context,ni,yune_librime_median_ratio,x,0.246,0.254,0.256,0.255,0.249,0.254,0.256,4.1,2.666,0,pass
latency_ratio,key_sequence_process_with_context,hao,yune_librime_median_ratio,x,0.281,0.294,0.291,0.289,0.281,0.289,0.294,4.6,1.844,0,pass
latency_ratio,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,yune_librime_median_ratio,x,0.022,0.022,0.023,0.023,0.022,0.022,0.023,4.5,2.339,0,pass
latency_ratio,key_sequence_process_with_context,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,yune_librime_median_ratio,x,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,1.748,0,pass
memory_peak,,,track_a_peak_working_set_bytes,bytes,153796608,153899008,153817088,153956352,153903104,153899008,153956352,0.1,195028378,0,pass
latency_ratio,key_sequence_process_with_context,zhongguo,yune_librime_median_ratio,x,0.038,0.039,0.038,0.039,0.037,0.038,0.039,5.4,0.323,0,pass
latency_ratio,key_sequence_process_with_context,cszysmsrsd,yune_librime_median_ratio,x,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0.474,0,pass
latency_ratio,key_sequence_process_with_context,zybfshmsru,yune_librime_median_ratio,x,0.008,0.008,0.008,0.008,0.007,0.008,0.008,14.3,0.695,0,pass
latency_ratio,startup_warm_shared_assets_runtime_ready,,yune_librime_median_ratio,x,0.87,0.999,0.975,1.009,0.983,0.983,1.009,16,1.091,0,pass
latency_absolute_us,session_create_select_destroy,,median_us,us,23228.1,23659.6,23144.9,22897.6,22567.4,23144.9,23659.6,4.8,25470.280,0,pass
latency_absolute_us,track-b-product/key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,median_us,us,16.9,16.928,16.952,16.784,16.751,16.9,16.952,1.2,347.975,0,pass
memory_absolute_bytes,track-b-product/key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,median_working_set_bytes,bytes,64114688,66547712,66613248,66609152,64368640,66547712,66613248,3.9,88012390,0,pass
memory_absolute_bytes,track-b-product/key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,max_peak_working_set_bytes,bytes,253763584,253415424,254001152,253284352,253247488,253415424,254001152,0.3,562033050,0,pass
memory_absolute_bytes,track-b-product/key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,median_private_bytes,bytes,27406336,29999104,30195712,30134272,27377664,29999104,30195712,10.3,39460045,0,pass
latency_absolute_us,track-b-product/session_create_select_destroy,,median_us,us,16790.8,16130.6,17155.8,16684.1,16821.8,16790.8,17155.8,6.4,39289.800,0,pass
memory_absolute_bytes,track-b-product/session_create_select_destroy,,median_working_set_bytes,bytes,63332352,63963136,64061440,64786432,63852544,63963136,64786432,2.3,66872115,0,pass
memory_absolute_bytes,track-b-product/session_create_select_destroy,,max_peak_working_set_bytes,bytes,253763584,253415424,254001152,253284352,253247488,253415424,254001152,0.3,562033050,0,pass
memory_absolute_bytes,track-b-product/session_create_select_destroy,,median_private_bytes,bytes,27373568,29618176,29548544,29822976,29671424,29618176,29822976,8.9,32084378,0,pass
latency_absolute_us,track-b-product/startup_warm_shared_assets_runtime_ready,,median_us,us,16813.7,16280.8,17219.7,16965.4,16819,16819,17219.7,5.8,38825.050,0,pass
memory_absolute_bytes,track-b-product/startup_warm_shared_assets_runtime_ready,,median_working_set_bytes,bytes,62791680,63397888,63500288,64409600,63135744,63397888,64409600,2.6,86196634,0,pass
memory_absolute_bytes,track-b-product/startup_warm_shared_assets_runtime_ready,,max_peak_working_set_bytes,bytes,253763584,253415424,254001152,253284352,253247488,253415424,254001152,0.3,562033050,0,pass
memory_absolute_bytes,track-b-product/startup_warm_shared_assets_runtime_ready,,median_private_bytes,bytes,26791936,29184000,29118464,29396992,28442624,29118464,29396992,9.7,37865062,0,pass
latency_ratio,key_sequence_process_with_context,zh,yune_librime_median_ratio,x,0.097,0.097,0.097,0.098,0.094,0.097,0.098,4.3,1.047,0,pass
latency_ratio,key_sequence_process_with_context,j,yune_librime_median_ratio,x,0.406,0.385,0.411,0.405,0.408,0.406,0.411,6.8,4.372,0,pass
latency_ratio,key_sequence_process_with_context,yi,yune_librime_median_ratio,x,0.433,0.429,0.441,0.433,0.433,0.433,0.441,2.8,6.098,0,pass
latency_ratio,key_sequence_process_with_context,che,yune_librime_median_ratio,x,0.131,0.133,0.134,0.132,0.131,0.132,0.134,2.3,1.160,0,pass
latency_ratio,key_sequence_process_with_context,chuang,yune_librime_median_ratio,x,0.172,0.172,0.173,0.171,0.168,0.172,0.173,3,1.357,0,pass
latency_ratio,key_sequence_process_with_context,b,yune_librime_median_ratio,x,0.375,0.36,0.385,0.372,0.376,0.375,0.385,6.9,3.775,0,pass
latency_ratio,key_sequence_process_with_context,ceshi,yune_librime_median_ratio,x,0.143,0.142,0.143,0.141,0.141,0.142,0.143,1.4,0.966,0,pass
latency_ratio,key_sequence_process_with_context,zhongdengchangdu,yune_librime_median_ratio,x,0.018,0.019,0.019,0.018,0.018,0.018,0.019,5.6,0.342,0,pass
latency_ratio,key_sequence_process_with_context,dazisudu,yune_librime_median_ratio,x,0.144,0.141,0.141,0.141,0.14,0.141,0.144,2.9,1.098,0,pass
