"mode","run","status","completed_utc","source_commit","source_tree","source_content_binding_sha256","yune_dll_sha256","benchmark_executable_sha256","benchmark_receipt_sha256","storage_mode","candidate_exact_inputs","candidate_verdict","candidate_tool_sha256","candidate_snapshot_sha256","candidate_verdict_sha256","expected_inputs_sha256","product_status_sha256","track_a_source_checksum","track_a_table_checksum","track_a_selected_storage","track_b_source_checksum","track_b_table_checksum","poet_output_sha256","poet_bytes","owner_shape_sha256","threshold_check_sha256"
"owned","1","complete","2026-07-17T03:07:08.0603193Z","91f5969688a3d2dba96a67d1cfe813c7ba4ee861","6626ed16d5e135fa477ca26e9786d11121c92b44","f41d013c0b583f46ee85a980076ef2511888b729ac3ee2f06d2210b7afbd2800","787e3017e0e68e79296894b73c33ad399f297a3195d1251a11bc0fbf8af88152","351ebd30c88634b1b646c4c6e73f0d14cbed8c38ebc75a15fb29c124b3661782","70036afa4a5516efe7d391fcdae8241b594b55900469ee1776d3dce9986d479e","owned","17/17","PASS","c68bb3366281ff1e1f769fedc0aea4dab432534684b3c1e8d10d16e33a709260","784c6977ad8f1da827d69318345f68da7997ee39e97869c3411d6093411ec796","1ec82de57786cd8a9bc071bfa43e185dec9352c776a4426d406d18a45c72ef79","3287c439c9cd2fae7b86dde6fc2f4f6fe23f657c782c12d3567ea056ff1d0c29","613752fbbf12f4604fc42601131e2b3da07f1f51b4fab3083965db0bbb1941cd","0xb3d4e98e","0x29d56c89","rsmarisa_byte_backed","0xf6589c0c","0xf6589c0c","45f5c91d0f3a0ddd953a954a33687377fb8f5565fe12ac306fb41952eca39144","28616073","45ed75502e7e94081ee694b25103eb2398db2566f8b60c4da3aecec02115a50d","5316f0849467b0358484883b4478fa80718026195f4fb514ff54c3bdea29c816"
"owned","2","complete","2026-07-17T03:08:20.5627908Z","91f5969688a3d2dba96a67d1cfe813c7ba4ee861","6626ed16d5e135fa477ca26e9786d11121c92b44","f41d013c0b583f46ee85a980076ef2511888b729ac3ee2f06d2210b7afbd2800","787e3017e0e68e79296894b73c33ad399f297a3195d1251a11bc0fbf8af88152","351ebd30c88634b1b646c4c6e73f0d14cbed8c38ebc75a15fb29c124b3661782","70036afa4a5516efe7d391fcdae8241b594b55900469ee1776d3dce9986d479e","owned","17/17","PASS","c68bb3366281ff1e1f769fedc0aea4dab432534684b3c1e8d10d16e33a709260","784c6977ad8f1da827d69318345f68da7997ee39e97869c3411d6093411ec796","1ec82de57786cd8a9bc071bfa43e185dec9352c776a4426d406d18a45c72ef79","3287c439c9cd2fae7b86dde6fc2f4f6fe23f657c782c12d3567ea056ff1d0c29","7f47d857a30faec091863143e1a609206878b8e86eb40779bca85d7bd04983ef","0xb3d4e98e","0x29d56c89","rsmarisa_byte_backed","0xf6589c0c","0xf6589c0c","45f5c91d0f3a0ddd953a954a33687377fb8f5565fe12ac306fb41952eca39144","28616073","45ed75502e7e94081ee694b25103eb2398db2566f8b60c4da3aecec02115a50d","6f2cfa7157cfb107566d3e58e7361ae2038d8ad792ed0def23c816071e5d2cd8"
"owned","3","complete","2026-07-17T03:09:32.9797844Z","91f5969688a3d2dba96a67d1cfe813c7ba4ee861","6626ed16d5e135fa477ca26e9786d11121c92b44","f41d013c0b583f46ee85a980076ef2511888b729ac3ee2f06d2210b7afbd2800","787e3017e0e68e79296894b73c33ad399f297a3195d1251a11bc0fbf8af88152","351ebd30c88634b1b646c4c6e73f0d14cbed8c38ebc75a15fb29c124b3661782","70036afa4a5516efe7d391fcdae8241b594b55900469ee1776d3dce9986d479e","owned","17/17","PASS","c68bb3366281ff1e1f769fedc0aea4dab432534684b3c1e8d10d16e33a709260","784c6977ad8f1da827d69318345f68da7997ee39e97869c3411d6093411ec796","1ec82de57786cd8a9bc071bfa43e185dec9352c776a4426d406d18a45c72ef79","3287c439c9cd2fae7b86dde6fc2f4f6fe23f657c782c12d3567ea056ff1d0c29","141a8d961aaf5b91eb7417324e48a10930311f1dfdffbd3b5580a4af051c5fe2","0xb3d4e98e","0x29d56c89","rsmarisa_byte_backed","0xf6589c0c","0xf6589c0c","45f5c91d0f3a0ddd953a954a33687377fb8f5565fe12ac306fb41952eca39144","28616073","45ed75502e7e94081ee694b25103eb2398db2566f8b60c4da3aecec02115a50d","571882ace6537839c2edae82745d5d4d52c6eacc31953be6d44c8eb977365825"
"owned","4","complete","2026-07-17T03:10:47.3466790Z","91f5969688a3d2dba96a67d1cfe813c7ba4ee861","6626ed16d5e135fa477ca26e9786d11121c92b44","f41d013c0b583f46ee85a980076ef2511888b729ac3ee2f06d2210b7afbd2800","787e3017e0e68e79296894b73c33ad399f297a3195d1251a11bc0fbf8af88152","351ebd30c88634b1b646c4c6e73f0d14cbed8c38ebc75a15fb29c124b3661782","70036afa4a5516efe7d391fcdae8241b594b55900469ee1776d3dce9986d479e","owned","17/17","PASS","c68bb3366281ff1e1f769fedc0aea4dab432534684b3c1e8d10d16e33a709260","784c6977ad8f1da827d69318345f68da7997ee39e97869c3411d6093411ec796","1ec82de57786cd8a9bc071bfa43e185dec9352c776a4426d406d18a45c72ef79","3287c439c9cd2fae7b86dde6fc2f4f6fe23f657c782c12d3567ea056ff1d0c29","be0657d150da4f01fb63ac7183b261b24daa3c5d3d5e5f42682ed5547be9335d","0xb3d4e98e","0x29d56c89","rsmarisa_byte_backed","0xf6589c0c","0xf6589c0c","45f5c91d0f3a0ddd953a954a33687377fb8f5565fe12ac306fb41952eca39144","28616073","45ed75502e7e94081ee694b25103eb2398db2566f8b60c4da3aecec02115a50d","6931f67676de991e471088b899072a3edaba266737dca8e9b85e4725c7269134"
"owned","5","complete","2026-07-17T03:12:06.5897844Z","91f5969688a3d2dba96a67d1cfe813c7ba4ee861","6626ed16d5e135fa477ca26e9786d11121c92b44","f41d013c0b583f46ee85a980076ef2511888b729ac3ee2f06d2210b7afbd2800","787e3017e0e68e79296894b73c33ad399f297a3195d1251a11bc0fbf8af88152","351ebd30c88634b1b646c4c6e73f0d14cbed8c38ebc75a15fb29c124b3661782","70036afa4a5516efe7d391fcdae8241b594b55900469ee1776d3dce9986d479e","owned","17/17","PASS","c68bb3366281ff1e1f769fedc0aea4dab432534684b3c1e8d10d16e33a709260","784c6977ad8f1da827d69318345f68da7997ee39e97869c3411d6093411ec796","1ec82de57786cd8a9bc071bfa43e185dec9352c776a4426d406d18a45c72ef79","3287c439c9cd2fae7b86dde6fc2f4f6fe23f657c782c12d3567ea056ff1d0c29","c9129920559e077a1faaf3977a08ff2390a01741bd2862e8a2b9c1425ed46fee","0xb3d4e98e","0x29d56c89","rsmarisa_byte_backed","0xf6589c0c","0xf6589c0c","45f5c91d0f3a0ddd953a954a33687377fb8f5565fe12ac306fb41952eca39144","28616073","45ed75502e7e94081ee694b25103eb2398db2566f8b60c4da3aecec02115a50d","4ecfcd5ed9e0763bab68b1ca8348970a1b872e04846530f852dc17ffe765f24c"
"byte-backed-exploratory","1","complete","2026-07-17T03:13:21.7535270Z","91f5969688a3d2dba96a67d1cfe813c7ba4ee861","6626ed16d5e135fa477ca26e9786d11121c92b44","f41d013c0b583f46ee85a980076ef2511888b729ac3ee2f06d2210b7afbd2800","787e3017e0e68e79296894b73c33ad399f297a3195d1251a11bc0fbf8af88152","351ebd30c88634b1b646c4c6e73f0d14cbed8c38ebc75a15fb29c124b3661782","70036afa4a5516efe7d391fcdae8241b594b55900469ee1776d3dce9986d479e","byte-backed","17/17","PASS","c68bb3366281ff1e1f769fedc0aea4dab432534684b3c1e8d10d16e33a709260","784c6977ad8f1da827d69318345f68da7997ee39e97869c3411d6093411ec796","1ec82de57786cd8a9bc071bfa43e185dec9352c776a4426d406d18a45c72ef79","3287c439c9cd2fae7b86dde6fc2f4f6fe23f657c782c12d3567ea056ff1d0c29","e48534252f87b80733b6bda0f16018adf99effa8bc1d1ced0209324f3a920e71","0xb3d4e98e","0x29d56c89","rsmarisa_byte_backed","0xf6589c0c","0xf6589c0c","45f5c91d0f3a0ddd953a954a33687377fb8f5565fe12ac306fb41952eca39144","28616073","0b213c59f8526ea4e1be410d854e297ed12916839885830ee16e58669983edf0","9389c87b9a15f0608d4ca562f2d164cdf1c348f06c23ddec454b116057d86634"
"byte-backed","1","complete","2026-07-17T03:14:41.7387299Z","91f5969688a3d2dba96a67d1cfe813c7ba4ee861","6626ed16d5e135fa477ca26e9786d11121c92b44","f41d013c0b583f46ee85a980076ef2511888b729ac3ee2f06d2210b7afbd2800","787e3017e0e68e79296894b73c33ad399f297a3195d1251a11bc0fbf8af88152","351ebd30c88634b1b646c4c6e73f0d14cbed8c38ebc75a15fb29c124b3661782","70036afa4a5516efe7d391fcdae8241b594b55900469ee1776d3dce9986d479e","byte-backed","17/17","PASS","c68bb3366281ff1e1f769fedc0aea4dab432534684b3c1e8d10d16e33a709260","784c6977ad8f1da827d69318345f68da7997ee39e97869c3411d6093411ec796","1ec82de57786cd8a9bc071bfa43e185dec9352c776a4426d406d18a45c72ef79","3287c439c9cd2fae7b86dde6fc2f4f6fe23f657c782c12d3567ea056ff1d0c29","fe5084d478fd2113e9e89565d2e4a6c4b4b677100f00324b097f233bfdab89f9","0xb3d4e98e","0x29d56c89","rsmarisa_byte_backed","0xf6589c0c","0xf6589c0c","45f5c91d0f3a0ddd953a954a33687377fb8f5565fe12ac306fb41952eca39144","28616073","0b213c59f8526ea4e1be410d854e297ed12916839885830ee16e58669983edf0","97d49170d4966e09ae61a71650a8a3e68034b7baac6542278fa77b3bc0257655"
"byte-backed","2","complete","2026-07-17T03:15:54.3547192Z","91f5969688a3d2dba96a67d1cfe813c7ba4ee861","6626ed16d5e135fa477ca26e9786d11121c92b44","f41d013c0b583f46ee85a980076ef2511888b729ac3ee2f06d2210b7afbd2800","787e3017e0e68e79296894b73c33ad399f297a3195d1251a11bc0fbf8af88152","351ebd30c88634b1b646c4c6e73f0d14cbed8c38ebc75a15fb29c124b3661782","70036afa4a5516efe7d391fcdae8241b594b55900469ee1776d3dce9986d479e","byte-backed","17/17","PASS","c68bb3366281ff1e1f769fedc0aea4dab432534684b3c1e8d10d16e33a709260","784c6977ad8f1da827d69318345f68da7997ee39e97869c3411d6093411ec796","1ec82de57786cd8a9bc071bfa43e185dec9352c776a4426d406d18a45c72ef79","3287c439c9cd2fae7b86dde6fc2f4f6fe23f657c782c12d3567ea056ff1d0c29","88ea2974a5a96a9a07f00e8c3193d4f1fd22cf0f60f5086dad07f369757596c1","0xb3d4e98e","0x29d56c89","rsmarisa_byte_backed","0xf6589c0c","0xf6589c0c","45f5c91d0f3a0ddd953a954a33687377fb8f5565fe12ac306fb41952eca39144","28616073","0b213c59f8526ea4e1be410d854e297ed12916839885830ee16e58669983edf0","59b31cd0a569133a5c180e6026a648af530710d25863cdb28a02ab1b76c49d95"
"byte-backed","3","complete","2026-07-17T03:17:06.8960073Z","91f5969688a3d2dba96a67d1cfe813c7ba4ee861","6626ed16d5e135fa477ca26e9786d11121c92b44","f41d013c0b583f46ee85a980076ef2511888b729ac3ee2f06d2210b7afbd2800","787e3017e0e68e79296894b73c33ad399f297a3195d1251a11bc0fbf8af88152","351ebd30c88634b1b646c4c6e73f0d14cbed8c38ebc75a15fb29c124b3661782","70036afa4a5516efe7d391fcdae8241b594b55900469ee1776d3dce9986d479e","byte-backed","17/17","PASS","c68bb3366281ff1e1f769fedc0aea4dab432534684b3c1e8d10d16e33a709260","784c6977ad8f1da827d69318345f68da7997ee39e97869c3411d6093411ec796","1ec82de57786cd8a9bc071bfa43e185dec9352c776a4426d406d18a45c72ef79","3287c439c9cd2fae7b86dde6fc2f4f6fe23f657c782c12d3567ea056ff1d0c29","5087450e27dd6776dc6a4677018d53e01b0373e8daa6fb07492ef491d6a4537b","0xb3d4e98e","0x29d56c89","rsmarisa_byte_backed","0xf6589c0c","0xf6589c0c","45f5c91d0f3a0ddd953a954a33687377fb8f5565fe12ac306fb41952eca39144","28616073","0b213c59f8526ea4e1be410d854e297ed12916839885830ee16e58669983edf0","548925169fbf53b69ace21475a0cdfb096f4cf7f2b1b1cae4a08f1035c46b7bb"
"byte-backed","4","complete","2026-07-17T03:18:23.9914946Z","91f5969688a3d2dba96a67d1cfe813c7ba4ee861","6626ed16d5e135fa477ca26e9786d11121c92b44","f41d013c0b583f46ee85a980076ef2511888b729ac3ee2f06d2210b7afbd2800","787e3017e0e68e79296894b73c33ad399f297a3195d1251a11bc0fbf8af88152","351ebd30c88634b1b646c4c6e73f0d14cbed8c38ebc75a15fb29c124b3661782","70036afa4a5516efe7d391fcdae8241b594b55900469ee1776d3dce9986d479e","byte-backed","17/17","PASS","c68bb3366281ff1e1f769fedc0aea4dab432534684b3c1e8d10d16e33a709260","784c6977ad8f1da827d69318345f68da7997ee39e97869c3411d6093411ec796","1ec82de57786cd8a9bc071bfa43e185dec9352c776a4426d406d18a45c72ef79","3287c439c9cd2fae7b86dde6fc2f4f6fe23f657c782c12d3567ea056ff1d0c29","de159a7587d1a7e1f532590a04c9fd0129c7288c4f5037977a9a397374e183d2","0xb3d4e98e","0x29d56c89","rsmarisa_byte_backed","0xf6589c0c","0xf6589c0c","45f5c91d0f3a0ddd953a954a33687377fb8f5565fe12ac306fb41952eca39144","28616073","0b213c59f8526ea4e1be410d854e297ed12916839885830ee16e58669983edf0","e62fab04c3dd730605bf5e193d6707040527f0fa492d4e7d39c79aa4539c0f3f"
