artifact,sha256,disposition
candidate-comparator-corrected,c68bb3366281ff1e1f769fedc0aea4dab432534684b3c1e8d10d16e33a709260,tracked-tool
closeout-gate-status,cd84a7e4d56b7d2f70e160dd0aeb22e2e0b42c03118a8a2298633daa603593ce,tracked-exact-copy
closeout-workspace-red-log,695dec04fc9fcc5f30b363fb4dedf2c17c31c06171427b633d8f8eee082fbd18,external-preserved-red
correction-source-benchmark-executable,351ebd30c88634b1b646c4c6e73f0d14cbed8c38ebc75a15fb29c124b3661782,fixed-all-eleven-runs
correction-source-benchmark-receipt,70036afa4a5516efe7d391fcdae8241b594b55900469ee1776d3dce9986d479e,fixed-all-eleven-runs
correction-source-yune-dll,787e3017e0e68e79296894b73c33ad399f297a3195d1251a11bc0fbf8af88152,fixed-all-eleven-runs
corrected-cantonese-test,4b1d03e2ec3648e3a7d5900efc2b1c1a836d92200e43f97bc16585dd0f64c0e9,combined-test-repair-tree
corrected-lifecycle-test,275584aeef58338bcad0d4cf156e92f8cb86641d89d47d732a3c0a2ac5d73e95,combined-test-repair-tree
disposition-d-revert-proof,f1d627b0c7f7e84bb1e6bd9cde6d9180d1f39f4cd257cc8728197f72dab18865,tracked-copy
evidence-integrity-external-utf16,4b597c7d767527c1abedfaeb828357023dee2032960ffc5faac2ddea92e72716,external-preserved-setup-receipt
evidence-integrity-tracked-utf8,15ddfa1f250baff2c10227aa2a0ff6a70be29374d87394e173dfa03bd6344471,tracked-normalized-text
m55-signed-threshold-registry,e74e77b4dd5b253e0c2b5f4b12cc1e0279784d3c3fbf02006b5f8f18fccacdba,unchanged
m61-supplemental-threshold,d52d064f410df36c1c22dd5523430062563a17bb9f2f63253b607d211badefd7,external-unaccepted
nonwork-raw-hash-manifest,94ee905ba4a42c3664262847c32ffc8588e97686674236d55a5f4d38d8187c96,external-660-files
orchestration-script,aa043a23a3c44d0e2f603c2f7221bc71de009990329e1a960f64904cc0f3a2ec,external-source-bound
poet-rebind-tool,ec66bec8d6c3d5766b0902bd52933db6494e678c34d04c037b3de031dd19b41f,tracked-tool
privacy-utf16-setup-failure,be01b0c95f78668e6367bef12a670e17ba5fcc544bd18a2a8dd4b018a0c9e045,external-preserved-setup-receipt
pre-review-tree-normalization-red,cb4db3efb3de60b4315a16e7621fdc9e3890ac1725b44a71ce4540eeee3a4993,external-preserved-red
reconciliation-script,53c3a946e0feb899aeeb98eac51775b0d903fc72f35ae0f14efc104f0bcc31d5,external-source-bound
retry-1-interruption,8f90723d167c87ffb46b03169eb8086a24dac3efff7610483239c1dd4c4b2fb0,external-no-verdict
retry-1-partial-cantonese-output,3876fce757c4fd121509a4c4f2753c9881b853ec0f30fcaed87d0058aae66a0c,external-no-verdict
retry-2-cantonese-log,f6fa64a960de2979f315c93bb88f4630e002cfec629409526c46543ca2fcbbae,external-green
retry-2-complete,e580982f09479e6b48821e2459e2f214bfcf3b338c206f9af7828b59d7a5a85b,external-green
retry-2-deployed-page-log,d311821c07a9c31969ac2be95910b8adfe9493a668aa12584f326d5ffdf14919,external-green
retry-2-gate-status,9c19bc533a4ad5c016e272edad789eaa2a89e9860648a211a2c3c19e4aced144,external-green
retry-3-api-library-red,3ff4a64c0515d2cec0b82b79008a5093e1c61112d4a80080522bd7381281ab29,external-preserved-red
retry-3-complete,dd70a0e4f20513d77034852640d9bfb9ecdd9e16328c8359fbc1109a17dbe0c4,external-red
retry-3-core-tail,57d9816954741999a1400d1bb6c5809590e7aa72986811f1932e9d40e6a8e6ac,external-green-retained
retry-3-gate-status,007098cbf078abbb9fa4dbcdf8c2a8d548be1cb3b8d02e979aaaf468c0ec5049,external-red
retry-4-core-doc-tests,283d2388d2dcad74450016633054a6de1aa677e2a55c5dba9753196c2f7e692b,external-green
retry-4-api-doc-tests,b9d6fe47b20750bed310f23320b3c1b05298be8a5726c2c53492e8e75343ea4c,external-green
retry-4-api-library,5beb0261a2d4a3f18a6b0cf3bad90b8f94a4378c86f0f56dc66894c67796fd1d,external-green
retry-4-api-never-reached-bins-integrations,96d0b4b0ada3817d38ea84f0fcc4d110894d4fd6cfbb05d467e0f50f11569033,external-green
retry-4-complete,815abfa7112a13263dc5dcf3ebfcc433d15c411744c663b9ffdc64be79a46f2a,external-green
retry-4-gate-status,e8817e5f73a8d3507d40f2351bc29b91a7e37dd3853191acf91d88aee1a2d1af,external-green
retry-4-source-current-clippy,f3e5616178cf8b23aec90e9c825637afc43527787c8d99955245d204d20c22f9,external-green
