input,key_index,prefix,last_key,run1_yune_total_us,run2_yune_total_us,run3_yune_total_us,run4_yune_total_us,run5_yune_total_us,yune_total_us,yune_process_us,yune_get_context_us,yune_free_context_us,yune_total_spread_pct,yune_candidate_count,yune_text_bytes,yune_comment_bytes,yune_preedit_bytes,yune_text_fnv1a64,yune_comment_fnv1a64,yune_preedit_fnv1a64,yune_snapshot_fnv1a64,run1_librime_total_us,run2_librime_total_us,run3_librime_total_us,run4_librime_total_us,run5_librime_total_us,librime_total_us,librime_process_us,librime_get_context_us,librime_free_context_us,librime_total_spread_pct,librime_candidate_count,librime_text_bytes,librime_comment_bytes,librime_preedit_bytes,librime_text_fnv1a64,librime_comment_fnv1a64,librime_preedit_fnv1a64,librime_snapshot_fnv1a64,yune_librime_total_ratio,faster_engine,candidate_count_exact,text_fnv1a64_exact,comment_fnv1a64_exact,preedit_fnv1a64_exact,snapshot_fnv1a64_exact
n,1,n,n,80.916,81.125,80.645,81.292,82.166,81.125,80.542,0.458,0.084,1.9,5,15,8,1,13b2f2e4952788a4,e3b57c1f0b9c508f,e498122632417bf9,7a5c5a5cb65f4923,23.396,18.916,13.166,12.875,24.687,18.916,12.375,6.417,0.083,91.7,5,15,0,1,26b7ce63e2a917d2,e4bc4fd9252be94f,e498122632417bf9,6f70f37ec51fdaed,4.289,librime,yes,no,no,yes,no
zh,1,z,z,111.291,112.916,113.500,111.959,113.582,112.916,112.355,0.459,0.084,2.1,5,15,8,1,df407c8f94fd04c7,8afef1407ef6ab6f,e498262632419df5,f5259ad387730e1e,20.376,19.374,16.917,22.062,16.396,19.374,13.791,5.500,0.083,34.6,5,15,0,1,9362c08ffe51784b,e4bc4fd9252be94f,e498262632419df5,df4fbfa86118c800,5.828,librime,yes,no,no,yes,no
zh,2,zh,h,141.209,142.917,144.770,142.646,143.271,142.917,142.334,0.459,0.084,2.5,5,15,12,2,6d38d7b04f8dd604,2c239a70643f00ff,c7e468eae80a81fc,6a8c9901c12c4dde,91.208,83.686,74.500,91.416,69.272,83.686,73.979,9.667,0.083,32.0,5,21,0,2,f64d9390bd5a6254,e4bc4fd9252be94f,c7e468eae80a81fc,0cac7faea146f034,1.708,librime,yes,no,no,yes,no
ceshiyixiachangjushuruxingnengzenyang,1,c,c,109.521,110.770,110.001,110.001,110.001,110.001,109.312,0.583,0.125,1.1,5,18,11,1,f9371531b965184e,a0d0e564a6931d6c,e4981d2632418eaa,890c8ad3568793f5,12.750,12.583,12.521,13.084,12.562,12.583,8.917,3.625,0.042,4.5,5,15,0,1,a836c415f01e122e,e4bc4fd9252be94f,e4981d2632418eaa,3a81f2bf12518d8a,8.742,librime,yes,no,no,yes,no
ceshiyixiachangjushuruxingnengzenyang,2,ce,e,12.458,12.375,12.166,12.251,12.271,12.271,11.667,0.500,0.125,2.4,5,15,10,2,eb82feabd839e74f,2848abd24c682be2,c7cd61eae7f79736,d409cf544efcabec,8.791,8.646,8.646,8.896,8.541,8.646,5.604,3.042,0.042,4.2,5,15,0,2,eb82feabd839e74f,e4bc4fd9252be94f,c7cd61eae7f79736,f1d27353058d28ff,1.419,librime,yes,yes,no,yes,no
ceshiyixiachangjushuruxingnengzenyang,3,ces,s,34.083,33.667,33.666,33.374,33.520,33.666,33.042,0.541,0.125,2.1,5,33,30,3,218adf9fd6c70f73,e463992e64c8a125,181ddd23ef14a560,f59ae9d844f23d31,37.668,37.459,36.896,37.416,37.041,37.416,33.333,3.833,0.042,2.1,5,30,0,4,0ae86e6b91c2c5fc,e4bc4fd9252be94f,d0dd97c5abec43c5,fe8256ecc0812f8d,0.900,yune,yes,no,no,no,no
ceshiyixiachangjushuruxingnengzenyang,4,cesh,h,28.874,28.750,28.646,28.750,28.625,28.750,28.105,0.500,0.125,0.9,5,33,30,4,218adf9fd6c70f73,e463992e64c8a125,cfd7aec5ab0d8c2f,a52c2e9f9307e1ec,48.312,48.001,47.459,48.125,47.730,48.001,44.396,3.542,0.042,1.8,5,30,0,5,46161e40d8c75c70,e4bc4fd9252be94f,88bc714de2828a18,45db6852a6cf79f8,0.599,yune,yes,no,no,no,no
ceshiyixiachangjushuruxingnengzenyang,5,ceshi,i,27.896,28.125,27.812,27.916,28.041,27.916,27.250,0.542,0.125,1.1,5,39,34,5,a48aa6da01f02db4,0981ef3c0244ae04,f1210f4cfb7fda49,9e0a0ba95182f980,14.125,13.875,13.812,14.084,13.667,13.875,10.417,3.458,0.042,3.4,5,30,0,6,b3b1870c168907a2,e4bc4fd9252be94f,345928ee9891592c,4683ee725a990be2,2.012,librime,yes,no,no,no,no
ceshiyixiachangjushuruxingnengzenyang,6,ceshiy,y,41.041,41.312,40.438,40.645,41.020,41.020,40.354,0.542,0.125,2.2,5,54,46,6,8d96a9801f61a4bd,f7a2d6b188845223,352dae83d31d643b,abc80fc22fe616a4,32.876,32.583,32.166,32.520,32.228,32.520,28.791,3.583,0.042,2.2,5,36,0,8,a311d2d5fef2608e,e4bc4fd9252be94f,d2dd694bc9bd9589,3000bc34e78843f5,1.261,librime,yes,no,no,no,no
ceshiyixiachangjushuruxingnengzenyang,7,ceshiyi,i,24.938,25.167,24.709,24.938,24.834,24.938,24.292,0.541,0.125,1.9,5,39,30,7,e14515d9bc9b5adb,102ec5933428cb16,0f28be56edc16111,bc73fa6987e07ea1,14.709,14.666,14.688,14.812,14.271,14.688,11.250,3.416,0.042,3.8,5,33,0,9,5ecf54ea40a03b3e,e4bc4fd9252be94f,836533db57b53487,d33270957aa18d31,1.698,librime,yes,no,no,no,no
