"dictionary_commit","dictionary_tree","dictionary_manifest_sha256","dictionary_import_tables","opencc_sha256","opencc_line","key","outputs","code","siblings","locations"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","1","僞","偽 僞","ngai6","偽 僞","偽@jyut6ping3.chars.dict.yaml:23033;僞@jyut6ping3.chars.dict.yaml:23034"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","2","兌","兑 兌","deoi3","兑 兌","兑@jyut6ping3.chars.dict.yaml:5314;兌@jyut6ping3.chars.dict.yaml:5313"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","2","兌","兑 兌","deoi6","兑 兌","兑@jyut6ping3.chars.dict.yaml:5337;兌@jyut6ping3.chars.dict.yaml:5336"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","4","只","只 衹","zi2","只 衹","只@jyut6ping3.chars.dict.yaml:32496;衹@jyut6ping3.chars.dict.yaml:32556"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","5","啓","啓 啟","kai2","啓 啟","啓@jyut6ping3.chars.dict.yaml:16736;啟@jyut6ping3.chars.dict.yaml:16738"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","6","喫","吃 喫","hat1","吃 喫","吃@jyut6ping3.chars.dict.yaml:11589;喫@jyut6ping3.chars.dict.yaml:11591"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","6","喫","吃 喫","hek3","吃 喫","吃@jyut6ping3.chars.dict.yaml:11900;喫@jyut6ping3.chars.dict.yaml:11901"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","6","喫","吃 喫","jaak3","吃 喫","吃@jyut6ping3.chars.dict.yaml:13129;喫@jyut6ping3.chars.dict.yaml:13131"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","7","囪","囱 囪","coeng1","囱 囪","囱@jyut6ping3.chars.dict.yaml:3860;囪@jyut6ping3.chars.dict.yaml:3859"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","7","囪","囱 囪","cung1","囱 囪","囱@jyut6ping3.chars.dict.yaml:4293;囪@jyut6ping3.chars.dict.yaml:4292"
