kind,workload,input,observed_ratio,expected,status
latency_direction,key_sequence_process_with_context,b,6.118,,not-classified
latency_direction,key_sequence_process_with_context,ceshi,1.459,,not-classified
latency_direction,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,0.395,yune slower than librime,contradicted
latency_direction,key_sequence_process_with_context,che,2.592,,not-classified
latency_direction,key_sequence_process_with_context,chuang,2.453,,not-classified
latency_direction,key_sequence_process_with_context,cszysmsrsd,0.614,yune faster than librime,confirmed
latency_direction,key_sequence_process_with_context,dazisudu,1.519,,not-classified
latency_direction,key_sequence_process_with_context,hao,1.902,yune slower than librime,confirmed
latency_direction,key_sequence_process_with_context,j,7.367,,not-classified
latency_direction,key_sequence_process_with_context,n,3.725,yune slower than librime,confirmed
latency_direction,key_sequence_process_with_context,ni,2.586,yune slower than librime,confirmed
latency_direction,key_sequence_process_with_context,yi,3.966,,not-classified
latency_direction,key_sequence_process_with_context,zh,3.249,,not-classified
latency_direction,key_sequence_process_with_context,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,0.203,yune slower than librime,contradicted
latency_direction,key_sequence_process_with_context,zhongdengchangdu,0.398,,not-classified
latency_direction,key_sequence_process_with_context,zhongguo,0.981,yune faster than librime,confirmed
latency_direction,key_sequence_process_with_context,zybfshmsru,0.876,yune faster than librime,confirmed
latency_noise_caveat,startup_warm_shared_assets_runtime_ready,,0.582,report says measured faster on Windows but run-noisy/platform-specific,confirmed-on-this-run
latency_noise_caveat,session_create_select_destroy,,0.609,report says measured faster on Windows but run-noisy/platform-specific,confirmed-on-this-run
candidate_snapshot,candidate_first_page,ceshiyixiachangjushuruxingnengzenyang,,first page may differ as disclosed,allowed-but-unexpected-match
candidate_snapshot,candidate_first_page,cszysmsrsd,,first page matches,confirmed
candidate_snapshot,candidate_first_page,hao,,first page matches,confirmed
candidate_snapshot,candidate_first_page,n,,first page may differ as disclosed,confirmed
candidate_snapshot,candidate_first_page,ni,,first page matches,confirmed
candidate_snapshot,candidate_first_page,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,,first page may differ as disclosed,allowed-but-unexpected-match
candidate_snapshot,candidate_first_page,zhongguo,,first page may differ as disclosed,confirmed
candidate_snapshot,candidate_first_page,zybfshmsru,,first page matches,confirmed
memory_direction,track-a-peak-resident,,11.501,Yune Track A peak resident memory remains above librime on native peer lane,confirmed
browser,browser-peer-dashboard,,,browser rows are carried evidence,not-rerun
