path,removal_class,reason,retained_summary_pointer
apps/yune-web/e2e/results/m41-yune-web-startup-optimization/phase-0-one-sample/samples.csv,retain-fixture,Tracked browser startup fixture outside the evidence archive,
apps/yune-web/e2e/results/m41-yune-web-startup-optimization/phase-7-final-full/samples.csv,retain-fixture,Tracked browser startup fixture outside the evidence archive,
apps/yune-web/e2e/results/reframed-comparison-review-2026-06-27/browser-comparator/samples.csv,retain-fixture,Tracked browser comparison fixture outside the evidence archive,
apps/yune-web/e2e/results/web03-three-schema-launch-readiness/browser-attribution/web03-after-byte-backed-assets/samples.csv,retain-fixture,Tracked WEB-03 browser fixture outside the evidence archive,
apps/yune-web/e2e/results/yune-web-jyutping-memory-attribution/asset-family/phase-0-post-web01-asset-family/samples.csv,retain-fixture,Tracked browser attribution fixture outside the evidence archive,
apps/yune-web/e2e/results/yune-web-jyutping-memory-attribution/phase-0-post-web01-single-schema/samples.csv,retain-fixture,Tracked browser attribution fixture outside the evidence archive,
apps/yune-web/e2e/results/yune-web-vs-my-rime-baseline/2026-06-27-current-runtime/samples.csv,retain-fixture,Tracked browser comparison fixture outside the evidence archive,
apps/yune-web/e2e/results/yune-web-vs-my-rime-baseline/current-dashboard/samples.csv,retain-fixture,Tracked browser comparison fixture outside the evidence archive,
apps/yune-web/e2e/results/yune-web-vs-my-rime-baseline/final/samples.csv,retain-fixture,Tracked browser comparison fixture outside the evidence archive,
apps/yune-web/e2e/results/yune-web-vs-my-rime-baseline/post-m45-baseline/samples.csv,retain-fixture,Tracked browser comparison fixture outside the evidence archive,
apps/yune-web/e2e/results/yune-web-wasm-heap-optimization/after/samples.csv,retain-fixture,Tracked browser memory fixture outside the evidence archive,
apps/yune-web/e2e/results/yune-web-wasm-heap-optimization/attribution/final-attribution/samples.csv,retain-fixture,Tracked browser memory fixture outside the evidence archive,
apps/yune-web/e2e/results/yune-web-wasm-heap-optimization/attribution/post-m45-baseline-attribution/samples.csv,retain-fixture,Tracked browser memory fixture outside the evidence archive,
apps/yune-web/e2e/results/yune-web-wasm-heap-optimization/final/samples.csv,retain-fixture,Tracked browser memory fixture outside the evidence archive,
apps/yune-web/e2e/results/yune-web-wasm-heap-optimization/initial-memory-50331648-post-m45/samples.csv,retain-fixture,Tracked browser memory fixture outside the evidence archive,
apps/yune-web/e2e/results/yune-web-wasm-heap-optimization/initial-memory-67108864-post-m45/samples.csv,retain-fixture,Tracked browser memory fixture outside the evidence archive,
apps/yune-web/e2e/results/yune-web-wasm-heap-optimization/post-m43-baseline/samples.csv,retain-fixture,Tracked browser memory fixture outside the evidence archive,
