"owner_id","bytes","byte_class","residency_class","reducibility","proposed_phase_owner","technique_or_no_go_reason","evidence_source","notes"
"reverse_lookup.entries","0","shared_or_overlapping","logical_overlap","irreducible-overhead","none","No M55 reduction owner unless Phase 2b evidence promotes it","release benchmark owner profile: phase-0-baseline/gate-run-6-null-direct-take/memory-owner-profile.csv","lazy reverse-lookup dictionary is not retained until used"
"reverse_lookup.comments_index","0","shared_or_overlapping","logical_overlap","irreducible-overhead","none","No M55 reduction owner unless Phase 2b evidence promotes it","release benchmark owner profile: phase-0-baseline/gate-run-6-null-direct-take/memory-owner-profile.csv","lazy reverse-comment side index is not retained until used"
"reverse_lookup.config","40","heap_owned_required","steady_heap","irreducible-overhead","none","No M55 reduction owner unless Phase 2b evidence promotes it","release benchmark owner profile: phase-0-baseline/gate-run-6-null-direct-take/memory-owner-profile.csv","prefix/suffix/tag/comment-format state for the reverse lookup translator"
"translator.entries_by_code","0","shared","shared_or_zero","irreducible-overhead","none","No M55 reduction owner unless Phase 2b evidence promotes it","release benchmark owner profile: phase-0-baseline/gate-run-6-null-direct-take/memory-owner-profile.csv","compact storage path does not retain a translator BTreeMap"
"compact_table.syllabary_codes","13685","heap_owned_reducible","steady_heap","byte-backable","none","Already small; possible future compact code table only if larger owners are closed","release benchmark owner profile: phase-0-baseline/gate-run-6-null-direct-take/memory-owner-profile.csv","canonical code list retained for prism lookup"
"compact_table.syllable_ids_by_code","15757","heap_owned_reducible","steady_heap","byte-backable","none","Already small; possible future compact code map only if larger owners are closed","release benchmark owner profile: phase-0-baseline/gate-run-6-null-direct-take/memory-owner-profile.csv","rsmarisa lookup side map retained on heap"
"compact_table.storage","13013460","mmap_file_backed","steady_mmap_file","irreducible-overhead","none","No M55 reduction owner unless Phase 2b evidence promotes it","release benchmark owner profile: phase-0-baseline/gate-run-6-null-direct-take/memory-owner-profile.csv","rsmarisa table bytes are excluded from heap-owned branch triggers when mapped"
"compact_table.candidate_text_payload","13013460","shared_or_overlapping","logical_overlap","irreducible-overhead","none","No M55 reduction owner unless Phase 2b evidence promotes it","release benchmark owner profile: phase-0-baseline/gate-run-6-null-direct-take/memory-owner-profile.csv","candidate text payload; byte-backed rows overlap compact_table.storage"
"compact_table.candidate_comment_payload","0","shared_or_overlapping","logical_overlap","irreducible-overhead","none","No M55 reduction owner unless Phase 2b evidence promotes it","release benchmark owner profile: phase-0-baseline/gate-run-6-null-direct-take/memory-owner-profile.csv","candidate raw comments/code payload; byte-backed rows overlap compact_table.storage"
"compact_table.stems","48","heap_owned_required","steady_heap","irreducible-overhead","none","No M55 reduction owner unless Phase 2b evidence promotes it","release benchmark owner profile: phase-0-baseline/gate-run-6-null-direct-take/memory-owner-profile.csv","retained phrase-code stems needed for lookup records and dictionary panels"
"compact_table.lookup_records","0","shared","shared_or_zero","irreducible-overhead","none","No M55 reduction owner unless Phase 2b evidence promotes it","release benchmark owner profile: phase-0-baseline/gate-run-6-null-direct-take/memory-owner-profile.csv","no lookup-record payload retained for this compact table"
"compact_table.corrections_tolerance","0","heap_owned_required","steady_heap","irreducible-overhead","none","No M55 reduction owner unless Phase 2b evidence promotes it","release benchmark owner profile: phase-0-baseline/gate-run-6-null-direct-take/memory-owner-profile.csv","retained correction/tolerance payload required by TypeDuck fuzzy input behavior"
"compact_table.dict_settings","24","heap_owned_required","steady_heap","irreducible-overhead","none","No M55 reduction owner unless Phase 2b evidence promotes it","release benchmark owner profile: phase-0-baseline/gate-run-6-null-direct-take/memory-owner-profile.csv","retained dictionary settings parsed from deployed dictionary metadata"
"compact_table.preset_vocabulary","0","heap_owned_required","steady_heap","irreducible-overhead","none","No M55 reduction owner unless Phase 2b evidence promotes it","release benchmark owner profile: phase-0-baseline/gate-run-6-null-direct-take/memory-owner-profile.csv","retained preset vocabulary weights when the selected dictionary includes vocabulary packs"
"translator.normal_codes","0","shared","shared_or_zero","irreducible-overhead","none","No M55 reduction owner unless Phase 2b evidence promotes it","release benchmark owner profile: phase-0-baseline/gate-run-6-null-direct-take/memory-owner-profile.csv","normal code membership delegated to compact storage lookup"
"prism.double_array_units","7168","mmap_file_backed","steady_mmap_file","irreducible-overhead","none","No M55 reduction owner unless Phase 2b evidence promotes it","release benchmark owner profile: phase-0-baseline/gate-run-6-null-direct-take/memory-owner-profile.csv","prism double-array units are read directly from the byte source"
"prism.spelling_map","24244","mmap_file_backed","steady_mmap_file","irreducible-overhead","none","No M55 reduction owner unless Phase 2b evidence promotes it","release benchmark owner profile: phase-0-baseline/gate-run-6-null-direct-take/memory-owner-profile.csv","prism spelling descriptors are read lazily from the byte source"
"prism.corrections_tolerance","48","heap_owned_required","steady_heap","irreducible-overhead","none","No M55 reduction owner unless Phase 2b evidence promotes it","release benchmark owner profile: phase-0-baseline/gate-run-6-null-direct-take/memory-owner-profile.csv","parsed prism correction/tolerance payload retained on heap"
"prism.tips_payload","0","mmap_file_backed","steady_mmap_file","irreducible-overhead","none","No M55 reduction owner unless Phase 2b evidence promotes it","release benchmark owner profile: phase-0-baseline/gate-run-6-null-direct-take/memory-owner-profile.csv","prism descriptor tips remain in the byte source"
"poet.entries_by_code","18694662","heap_owned_reducible","steady_heap","byte-backable","Phase 2","Phase 2: compile into mmap-backed poet artifact; offset-serve sentence entries","release benchmark owner profile: phase-0-baseline/gate-run-6-null-direct-take/memory-owner-profile.csv","sentence model entries cloned from table rows"
"poet.lookup_index","2660848","heap_owned_guarded","steady_heap","shrinkable","Phase 2b candidate","Possible Phase 2b/3: inspect whether index can be compacted or byte-backed without changing lookup order","release benchmark owner profile: phase-0-baseline/gate-run-6-null-direct-take/memory-owner-profile.csv","sorted code-range index used by M40 sentence lookup"
"poet.vocabulary","53644752","heap_owned_reducible","steady_heap","byte-backable","Phase 2","Phase 2: compile into mmap-backed poet artifact; keep heap remnant under 1 MB with byte-identical sentence output","release benchmark owner profile: phase-0-baseline/gate-run-6-null-direct-take/memory-owner-profile.csv","normal preset vocabulary used by upstream sentence graph"
"poet.abbreviation_vocabulary","1433","heap_owned_reducible","steady_heap","byte-backable","none","No M55 reduction owner unless Phase 2b evidence promotes it","release benchmark owner profile: phase-0-baseline/gate-run-6-null-direct-take/memory-owner-profile.csv","abbreviation-only vocabulary used by M42 guard rows"
"schema.config","1974","overlap_estimate","logical_overlap","irreducible-overhead","none","No M55 reduction owner unless Phase 2b evidence promotes it","release benchmark owner profile: phase-0-baseline/gate-run-6-null-direct-take/memory-owner-profile.csv","deployed YAML config is parsed transiently; retained bytes are reload signatures"
"schema.processors","2599","heap_owned_guarded","steady_heap","shrinkable","none","No M55 reduction owner unless Phase 2b evidence promotes it","release benchmark owner profile: phase-0-baseline/gate-run-6-null-direct-take/memory-owner-profile.csv","processor and segmentor state installed from the selected schema"
"session.userdb","24","heap_owned_guarded","steady_heap","shrinkable","none","No M55 reduction owner unless Phase 2b evidence promotes it","release benchmark owner profile: phase-0-baseline/gate-run-6-null-direct-take/memory-owner-profile.csv","per-session learned entries; empty in clean native benchmark runs"
"runtime.session_state","3166","heap_owned_guarded","steady_heap","shrinkable","none","No M55 reduction owner unless Phase 2b evidence promotes it","release benchmark owner profile: phase-0-baseline/gate-run-6-null-direct-take/memory-owner-profile.csv","active native session runtime shell excluding shared translator internals"
"allocator.live_heap_not_in_owner_rows","71729000","allocator","steady_heap","shrinkable","Phase 2b candidate","Add subowner instrumentation before reducing; this is live allocator bytes beyond named heap rows, not allocator slack","debug native_memory_probe test-local allocator over upstream Luna prebuilt root","Release allocator probe is blocked by panic strategy mismatch; use as attribution/classification, not a release benchmark ceiling"
"process.named_mmap_file_backed_rows","13044872","mmap_file","steady_mmap_file","irreducible-overhead","none","Already byte-backed; do not count as heap reducible","native_memory_probe_luna + release owner profile","Compact table and prism mappings explain part of the prior unclassified working-set floor because Phase 0 only subtracted heap-owned reducible rows"
"process.resident_loader_image_allocator_overhead","18606706","image_allocator_external","steady_process_overhead","irreducible-overhead","none","Treat as process/runtime overhead unless future OS-level region scan proves a Yune-owned reducible subowner","native_memory_probe_luna steady working set minus allocator live and named mmap","Includes DLL/image/static/runtime allocator overhead and any remaining unknown resident pages"
"process.transient_peak_delta","15167488","transient","transient_peak","transient-boundable","Phase 2b candidate","Bound schema-load/first-selection peak only after Phase 2 storage removes the large steady heap owners","native_memory_probe_luna phase-memory.csv","Peak minus steady_after_esc working set in the probe process"
