engine,track,schema_id,session_id,owner_id,module,structure,byte_class,sharing_scope,retained_estimate_bytes,non_overlapping_reducible_bytes,logical_bytes,item_count,mapped_file_bytes,mapping_mode,evidence_source,notes
yune,track-b-product,jyut6ping3_mobile,77,translator.entries_by_code,translator,entries_by_code,shared,shared_reference,0,0,0,0,0,compact_table,yune_m43_memory_owner_profile_json,compact storage path does not retain a translator BTreeMap
yune,track-b-product,jyut6ping3_mobile,77,compact_table.syllabary_codes,compact_table,syllabary_codes,heap_owned_reducible,session_or_process_heap,4189674,4189674,0,114653,0,Vec<String>,yune_m43_memory_owner_profile_json,canonical code list retained for prism lookup
yune,track-b-product,jyut6ping3_mobile,77,compact_table.syllable_ids_by_code,compact_table,syllable_ids_by_code,shared,shared_reference,0,0,0,0,0,none,yune_m43_memory_owner_profile_json,byte-backed compact storage does not retain the rsmarisa syllable map
yune,track-b-product,jyut6ping3_mobile,77,compact_table.storage,compact_table,storage,mmap_file_backed,file_mapping,15248382,0,0,241796,15248382,byte_backed:mmap,yune_m43_memory_owner_profile_json,table bytes are excluded from heap-owned branch triggers when mapped
yune,track-b-product,jyut6ping3_mobile,77,compact_table.candidate_text_payload,compact_table,candidate_text_payload,shared_or_overlapping,shared_or_overlapping,1058723,0,1058723,127143,0,table_bin_byte_refs,yune_m43_memory_owner_profile_json,candidate text payload; byte-backed rows overlap compact_table.storage
yune,track-b-product,jyut6ping3_mobile,77,compact_table.candidate_comment_payload,compact_table,candidate_comment_payload,shared_or_overlapping,shared_or_overlapping,1516569,0,1516569,127143,0,table_bin_byte_refs,yune_m43_memory_owner_profile_json,candidate raw comments/code payload; byte-backed rows overlap compact_table.storage
yune,track-b-product,jyut6ping3_mobile,77,compact_table.stems,compact_table,stems,heap_owned_required,session_or_process_heap,48,0,0,0,0,"HashMap<String, Vec<String>>",yune_m43_memory_owner_profile_json,retained phrase-code stems needed for lookup records and dictionary panels
yune,track-b-product,jyut6ping3_mobile,77,compact_table.lookup_records,compact_table,lookup_records,heap_owned_required,session_or_process_heap,31920140,0,0,127144,0,"HashMap<String, Vec<DictionaryLookupRecord>>",yune_m43_memory_owner_profile_json,retained dictionary lookup records required by TypeDuck dictionary panels
yune,track-b-product,jyut6ping3_mobile,77,compact_table.corrections_tolerance,compact_table,corrections_tolerance,heap_owned_required,session_or_process_heap,0,0,0,0,0,Vec<RimeCorrectionEntry> + Vec<RimeToleranceRule>,yune_m43_memory_owner_profile_json,retained correction/tolerance payload required by TypeDuck fuzzy input behavior
yune,track-b-product,jyut6ping3_mobile,77,compact_table.dict_settings,compact_table,dict_settings,heap_owned_required,session_or_process_heap,24,0,0,0,0,"BTreeMap<String, String>",yune_m43_memory_owner_profile_json,retained dictionary settings parsed from deployed dictionary metadata
